Document type;Document description
bel.rp.type2;Belgian Residence Permit (biometric symbol in the top-left corner, front side)
bel.rp.type3;Belgian Residence Permit (parallelogram in the top-left corner, front side)
bel.visa.type1;Belgian Visa (BEL sign in the top-right corner, main page)
ben.id.type1;Benin ID Card (yellow background), front
ben.passport.type1;Passport of Benin (watermarks with the emblem of the republic of Dahomey, main page)
bfa.drvlic.type1;Driving License of Burkina Faso (the coat of arms of Burkina Faso in the top-right corner, front side)
bfa.id.type1;ID Card of Burkina Faso (a coat of arms on the background near the personal photo, front)
bfa.passport.type1;Passport of Burkina Faso ()
bfa.passport.type2;Passport of Burkina Faso (barcode in the middle of document, main page)
bfa.passport.type3;Passport of Burkina Faso ()
bgd.drvlic.type1;Driving License of Bangladesh (the stamp of Bangladesh Road Transport Authority on the background)
bgd.id.type1;ID Card of Bangladesh (the stamp with country borders in the top-left corner, front side)
bgd.passport.type1;Passport of Bangladesh (emblem of Bangladesh in the top- right corner, main page)
bgr.drvlic.type1;Bulgarian Driving License (sign of the European Union with letters BG in the top-left corner and the countour of country on the top in the middle, front side)
bgr.drvlic.type2;Bulgarian Driving License (a round stamp with letters BG on the right side, front side)
bgr.id.type1;Bulgarian ID Card (Bulgarian coat of arms on the right side, front side)
bgr.id.type2;Bulgarian ID Card (Bulgarian flag in the left-top corner, front side)
bgr.passport.type1;Bulgarian passport (round watermark in the middle of page, main page)
bgr.rp.type1;Bulgarian Residence Permit (flag of Bulgaria in the top-left corner and MN mark in the bottom-left corner, front side)
bgr.rp.type2;Bulgarian Residence Permit (biometric symbol in the top-left corner, front side)
bgr.visa.type1;Bulgarian Visa (BGR sign in the top-right corner)
bgr.vrc.type1;Bulgarian Vehicles Registration Certificate (outline of country on the background, page 2)
bhr.id.type1;Bahrain ID Card (Bahrain emblem on the top and chip on the left, front)
bhr.passport.type1;Bahrain passport (Bahrain emblem on the top, main page)
bhs.drvlic.type1;Bahamian Driving License (the national flag in the top-left corner and a personal photo on the left, front side)
bhs.drvlic.type2;Bahamian Driving License (the national flag in the top-left corner and a personal photo on the right,, front side)
bhs.id.type1;Bahamian ID Card (the contour of Bahamas on the background, front side)
bhs.passport.type1;Bahamian Passport (biometric symbol in the top-right corner, main page)
bhs.passport.type2;Bahamian Passport (biometric symbol in the top-left corner and the national flag in the top-right corner, main page)
bih.drvlic.type1;Driving License of Bosnia and Herzegovina (BIH sign in the top-right corner and the star on the backgroung, front side)
bih.drvlic.type2;Driving License of Bosnia and Herzegovina (BIH sign in the right area, front side)
bih.id.type1;ID Card of Bosnia and Herzegovina (a small personal photo on the right side and the star with triangle on the backgroung, front side)
bih.id.type2;ID Card of Bosnia and Herzegovina (stamp with BiH letters on the right, front side)
bih.passport.type1;Passport of Bosnia and Herzegovina (the contour of globus in the bottom-left corner of photo, main page)
bih.passport.type2;Passport of Bosnia and Herzegovina (a personal photo on the backgroung, main page)
bih.passport.type3;Passport of Bosnia and Herzegovina (a small personal photo in the top-right corner, main page)
blr.drvlic.type1;Belarusian Driving Licence (card-size, front side, horizontal)
blr.drvlic.type2;Belarusian Driving Licence (front side, vertical)
blr.id.type1;Belarusian ID Card (biometric symbol and Belarusian flag in the up-left corner, front, BLR sign on the right, back)
blr.passport.internal.type1;Belarusian passport (internal page)
blr.passport.type1;Belarusian passport (biodata page)
blr.visa.type1;Belarusian Visa (BLR sign in the top-left corner, main page)
blr.visa.type2;Belarusian Visa (Belarusian emblem on the left, main page)
blr.vrc.type1;Belarusian Vehicle Registration Certificate
blz.passport.type1;Passport of Belize (a small personal photo on the right side, main page)
bmu.passport.type1;Passport of Bermuda (emblem of Bermuda on the background)
bol.id.type1;Bolivian ID card (flag of Bolivia in the top-right corner, front side)
bol.passport.type1;Bolivian Passport (curved copy number and date of birth, main page)
bol.passport.type2;Bolivian Passport (with pdf417)
bra.drvlic.type1;Brazilian Driving License (Brazilian emblem in the top-left corner, front, green background, back)
bra.id.type1;Brazilian ID Card (Brazilian emblem on hte background, new type)
bra.id.type2;Brazilian ID Card (Brazilian emblem on hte background, old type, front)
bra.medcard.unimed.type1;Brazilian Medcard (Emblem of Unimed on the top right)
bra.passport.type1;Brazilian Passport (Brazil on hte background, main page)
bra.passport.type2;Brazilian Passport (barcode on the bottom, main page)
bra.re_license.type1;Brazilian Real Estate License (Brazilian emblem on the top- left corner, back, hummingbird in the middle, front)
bra.rp.type1;Brazilian ID Card (Brazilian emblem on hte background, new type)
bra.vrc.type1;Brazilian Vehicle Registration Certificate (green background)
brb.drvlic.type1;Driving License of Barbados (the contour of Barbados on the background, a coat of arms on the left side in the middle, front side)
brb.id.type1;ID Card of Barbados(a coat of arms of Barbados in the middle, front side)
brb.passport.type1;Passport of Barbados (the coat of arms of Barbados on the background and in the top-right corner of photo, main page)
brn.id.type1;ID Card of Brunei
brn.passport.type1;Passport of Brunei (the coat of arms of Brunei in the top- left corner, main page)
brn.passport.type2;Passport of Brunei (round stamps on the background and name of document is written on the tracery above the personal photo, main page)
btn.id.type1;ID Card of Bhutan (flag of Bhutan in left-upper connor, front)
btn.passport.type1;Passport of Bhutan (a small personal photo on the background in the top-right corner, main page)
bwa.drvlic.type1;Driving License of Botswana (the coat of arms under the personal photo and the countour of Botswana on the background, front side)
bwa.id.type1;Driving License of Botswana (the coat of arms under the personal photo and the countour of Botswana on the background, front side)
bwa.passport.type1;Passport of Botswana (the coat of arms of Botswana on the right side, main page)
caf.drvlic.type1;Driving License of Central African Republic (a coat of arms in the top-right corner, front side)
caf.passport.type1;Central African Republic Passport (photo on the left, small photo on the right)
can.drvlic.ab.type1;Canadian Driving License (a barcode in the bottom-right corner, front side)
can.drvlic.ab.type2;Canadian Driving License - Alberta (a round stamp on the right, front side)
can.drvlic.bc.type1;Canadian Driving License - British Columbia (flag of British Columbia on the background and the coat of arms of British Columbia on the right, front side)
can.drvlic.bc.type2;Canadian Driving License - British Columbia (flag of British Columbia on the background and the coat of arms of British Columbia on the right, front side)
can.drvlic.mb.type1;Canadian Driving License - Manitoba (a bull above the personal photo, front side)
can.drvlic.nb.type1;Canadian Driving License - New Brunswick (flower on the background, front)
can.drvlic.nb.type2;Canadian Driving License - New Brunswick (watermark in the form of a leaf, front)
can.drvlic.nl.type1;Canadian Driving License - Newfoundland and Labrador (a flower on the background on the right, front side)
can.drvlic.nl.type2;Canadian Driving License - Newfoundland and Labrador (a flower on the background on the right, front side)
can.drvlic.ns.type1;Canadian Driving License - Nova Scotia (the escutcheon of Nova Scotia in the top-right corner, front side)
can.drvlic.ns.type2;Canadian Driving License - Nova Scotia (national flag of Canada in the bottom-right corner and a road on the background, front side)
can.drvlic.ns.type3;Canadian Driving License - Nova Scotia (the escutcheon of Nova Scotia in the top-right corner, front side)
can.drvlic.nt.type1;Canadian Driving License - Northwest Territories (a bear on the top-left and top-right corner, front side)
can.drvlic.nu.type1;Canadian Driving License - Nunavut (flag of Nunavut on the top near the name of document, front side)
can.drvlic.on.type1;Canadian Driving License (the flower on the background and sign of ON in the top-right corner, front side)
can.drvlic.on.type2;Canadian Driving License (inscription Canada in the down- right corner, front side)
can.drvlic.pe.type1;Canadian Driving License - Prince Edward Island (the escutcheon of Prince Edward Island in the top-right corner, front side)
can.drvlic.pe.type2;Canadian Driving License - Prince Edward Island (wind farms on the background, front side)
can.drvlic.qc.type1;Canadian Driving License - Quebec (the flag of Quebec above the personal photo on the left, front side)
can.drvlic.sk.type1;Canadian Driving License - Saskatchewan (flower in the top- right corner, front)
can.drvlic.type1;Canadian Driving License (globe on the background, front)
can.drvlic.yt.type1;Canadian Driving License - Youkon (the coat of arms of Youkon and a small personal photo on the right, front side)
can.health_insurance.on.type1;Canadian Health Insurance - Ontario (a flower on the background, front side)
can.id.ab.type1;Canadian ID Card - Alberta (flower on the background, front)
can.id.bc.type1;Canadian ID Card - British Columbia (whale on the background, front)
can.id.mb.type1;Canadian ID Card - Manitoba (a bull above the personal photo and CAN sign in the top-right corner, front side)
can.id.nb.type1;Canadian ID Card - New Brunswick (flowers onthe background, front)
can.id.ns.type1;Canadian ID Card - Nova Scotia (a personal photo on the right and a small personal photo in the bottom-left corner, front side)
can.id.ns.type2;Canadian ID Card - Nova Scotia (personal photo on the right and a small personal photo in the middle below, maple leaf in the background, front side)
can.id.nt.type1;Canadian ID Card - Northwest Territories (a vertical card, a bear on the top-left and top-right corner, front side)
can.id.on.type1;Canadian ID Card - Ontario (the flower on the background and sign of ON in the top-right corner, front side)
can.id.pe.type1;Canadian ID Card - Prince Edward Island (emblem of Prince Edward Island in the top-right corner, front)
can.id.qc.type1;Canadian IC Card - Quebec (sun in the top-left corner, front)
can.id.sk.type1;Canadian ID Card - Saskatchewan (forest on the background, front)
can.id.yt.type1;Canadian ID Card - Youkon (the coat of arms of Youkon and a small personal photo on the left, front side)
can.passport.type1;Canadian Passport (Canadian national symbols in the top- right corner, main page)
can.passport.type2;Canadian Passport (biometric symbol in the top-right corner and Canadian coat of arms on the background, main page)
can.rp.type1;Canadian Residence Permit (ducks on the background and stamp with duck in the down-right corner, front)
can.rp.type2;Canadian Residence Permit (the contour of Canada on the top, front)
can.visa.type1;Canadian Visa (maple leaves on the background, main page)
card.embossed;
card.freeform;
card.indent;
che.drvlic.type1;Swiss Driving License (swiss flag in the top-left corner, CH sign in the top-right corner, front side)
che.id.type1;Swiss ID Card (swiss flag in the top-left corner, stamp with cross in the top-right corner, front side)
che.passport.type1;Swiss Passport (red rectangle in the top-right corner, main page)
che.rp.type1;Swiss Residence Permit (CHE sign in the top-left corner and swiss coat of arms on the right, front side)
che.visa.type1;Swiss Visa (CHE sign in the top-right corner)
chl.drvlic.type1;Chilean driver licence (photo on the left)
chl.id.type1;Chilean ID card (stamp with star in the top-left corner and eagle on the background, front side)
chl.passport.type1;Chilean Passport (biometric symbol in the bottom-right corner and Chilean coat of arms on the background, main page)
chl.passport.type2;Chilean Passport, main page
chn.drvlic.type1;Driving License of the People's Republic of China (owner photo in the lower right corner, front side)
chn.homereturn.type1;Chinese Home Return Card (the great Wall of China on the backgronud, front)
chn.id.type1;Chinese ID Card (Chinese emblem in the top-left corner, front)
chn.passport.type1;Chinese Passport (China from the bottom in the background and barcode on the left, main page)
chn.passport.type2;Chinese Passport (green lotus on the left, main page)
chn.passport.type3;Chinese Passport (biometric symbol in the top-right corner and a flower on the background, main page)
chn.passport.type4;Chinese Passport (biometric symbol in the top-right corner and CHN sign on the right, main page)
chn.passport.type5;Chinese Passport (biometric symbol in the top-left corner, main page)
civ.drvlic.type1;Driving License of of Côte d'Ivoire(the coat of arms in the top-left corner, front side)
civ.id.type1;Côte d'Ivoire ID card (the contour of Côte d'Ivoire and emblem in the right area)
civ.passport.type1;Passport of Côte d'Ivoire (the contour of Côte d'Ivoire in the bottom-right corner of photo, main page)
cmr.drvlic.type1;Drvier Licence of Cameroon (photo of the owner on the front side on left)
cmr.id.type1;Identification Card of Cameroon (photo of the owner on the background, front side)
cmr.id.type2;Identification Card of Cameroon (emblem of country on the background, front side)
cmr.passport.type1;Passport of Cameroon (biometric symbol in the top-left corner, main page)
cmr.passport.type2;Passport of Cameroon (RC sign in the top-right corner of photo, main page)
cod.drvlic.type1;Driving License of Democratic Republic of Congo (emblem with a lion on the background, front side)
cod.id.type1;
cod.passport.type1;Passport of Democratic Republic of Congo (the coat of arms of the Democratic Republic of the Congo on the background, main page)
cod.passport.type2;Passport of Democratic Republic of Congo (the coat of arms of the Democratic Republic of the Congo on the background, main page)
cog.drvlic.type1;Driving License of Republic of the Congo (a flag of of Republic of the Congo on the right, front side)
cog.id.type1;ID Card of Republic of the Congo (a coat of arms on the right side, front)
cog.passport.type1;Congo passport - Congo emblem on the background, main
cog.passport.type2;Congo passport (photo of the owner on the background, main page)
col.drvlic.type1;Colombian Driving License (the coat of arms of Colombia in the top-left corner, front side)
col.id.type1;Colombian ID Card (Colombian emblem on the background, front side)
col.passport.type1;Colombian Passport (a small personal photo in the top-right corner, main page)
col.passport.type2;Colombian Passport (a personal photo on the left, no mrz zone on document, main page)
com.id.type1;Id card of Comoros (Comoros flag on the top middle)
com.passport.type1;Passport of Comoros (barcode in the middle of document, main page)
com.passport.type2;Passport of Comoros (Comoros coat of arms on the background, main page)
cpv.drvlic.type1;Driver's license of Cape Verde (coat of arms over the photo of the owner, front side)
cpv.id.type1;Cabo Verde ID Card
cpv.id.type2;Cabo Verde ID Card (national symbols in left area, front)
cpv.passport.type1;Passport of Cape Verde (the coat of Arms of Cape Verde on the background, main page)
cpv.passport.type2;Passport of Cape Verde (the coat of Arms of Cape Verde on the background, main page)
cri.id.type1;
cri.id.type2;
cri.passport.type1;Passport of Costa Rica (barcode in the middle of document, butterfly in the bottom-right corner of photo, main page)
crop;
cub.drvlic.type1;Driving License of Cuba(red coat of arms on the background and holographic stamp to the right of photo)
cub.drvlic.type2;Driving License of Cuba(inscription CUBA on the background and blue stamp with car)
cub.drvlic.type3;Driving License of Cuba(inscription CUBA on the background and blue stamp with car)
cub.id.type1;Cuban ID card (the coat of arms of Cuba on the top middle and flag of Cuba on the top left conner, front side, three- line mrz zone on the bottom and QR code, back side)
cub.passport.type1;Passport of Cuba (rhombuses on the background, main page)
cub.passport.type2;Passport of Cuba (barcode above the mrz zone, main page)
cym.passport.type1;Passport of Cayman Islands
cyp.drvlic.type1;Driver License Card of Cyprus (Cyprus coat of arms and country outline on the background, front side)
cyp.id.type1;ID Card of Cyprus (Cyprus coat of arms on the background, front side)
cyp.id.type2;ID Card of Cyprus (Cyprus coat of arms on the top-left corner and biometric symbol, front side)
cyp.passport.type1;Passport of Cyprus (the countour of Cyprus in the top-left corner, Cyprus coat of arms in the top-left corner, main page)
cyp.passport.type2;Passport of Cyprus (Cyprus coat of arms on the background, main page)
cze.drvlic.type1;Czech Driving license (the sign of the European Union with letter in the top-left corner, front)
cze.drvlic.type2;Czech Driving license (table on the middle,information on left down corner, back)
cze.id.type1;Czech ID Card (CZ sign on the right and rings on the background, front)
cze.id.type2;Czech ID Card (old type, Czechia emblem in the down-left corner, back, stamp in the form of a tree, front)
cze.id.type3;Czech ID Card (Czechia emblem in the down-left corner, back, stamp in the form of a tree, front)
cze.passport.type1;Czech Passport (stamp on the top, main page)
cze.rp.type1;Czech Residence Permit (biometric symbol in the top-left corner and Czech emblem on the right, front)
cze.rp.type2;Czech Residence Permit (patterned frame around the photo, front)
cze.rp.type3;Czech Residence Permit (bull on the middle, front)
cze.visa.type1;Czech Visa (cze sign in the top-right corner, main page)
cze.vrc.type1;Czech Vehicle Registration Certificate (the sign of the European Union with letters CZ in the top-left corner and leaves in the bottom-left corner, front side )
deu.drvlic.type1;German Driving License (sign of the European Union with letter D in the top-left corner and three road signs in the bottom-right corner, front side)
deu.drvlic.type2;German Driving License (sign of the European Union with letter D in the top-left corner and stamp with the silhouette of the letter D in the bottom-right corner, front side)
deu.id.type1;German ID card (the coat of arms of Germany on the background, front side, three-line mrz zone on the bottom, back side)
deu.id.type2;German ID card (the coat of arms of Germany on the background and two-line mrz zone on the bottom, front side)
deu.passport.type1;German Passport (the coat of arms of Germany on the right side, main page)
deu.passport.type2;German Passport (the coat of arms of Germany in the top-left corner and in the middle on the background, main page)
deu.passport.type3;German Passport (stamp with the coat of arms of Germany under the photo, main page)
deu.rp.type1;German Residence Permit (biometric symbol in the top-left corner and a bull above the photo, front side)
deu.visa.type1;German Visa (D sign in the top-right corner, main page)
deu.vrc.type1;
dji.id.type1;Djibouti ID Card (green line under country's name, front)
dji.passport.type1;Passport of Djibouti (the coat of arms of Djibouti and a personal photo on the background, main page)
dma.drvlic.type1;Driver license of Dominica (blue and red wavy lines)
dma.id.type1;Driver license of Dominica (blue and red wavy lines)
dma.passport.type1;Passport of Dominica (the coat of arms of Dominica on the background and a dolphin in the top-right corner, main page)
dnk.drvlic.type1;Danish Driving License (Danish coat of arms on the background, front side)
dnk.drvlic.type2;Danish Driving License (two swans in the right-bottom corner, front side)
dnk.id.type1;Danish ID Card (yellow background, front)
dnk.id.type2;Danish ID Card (5 arrow in right area, ligth stripes in background, front)
dnk.passport.type1;Danish Passport (a small personal photo in the top-right corner)
dnk.rp.type1;Danish Residence Permit (biometric symbol on the top and Danish coat of arms on the right, front side)
dnk.visa.type1;Danish Visa (DNK sign in the top-right corner)
dom.drvlic.type1;Dominican driving license (flag colors in the background, front side)
dom.drvlic.type2;Dominican driving license (coat of arms in the upper right corner, hand with a voting sheet in the lower left corner, front side)
dom.drvlic.type3;Dominican driving license (the coat of arms in the upper left corner, the map in the lower right, the flag against the background, front side)
dom.id.type1;Dominican ID Card (emblem of country in left-upper connor, border of country in right-down connor front)
dom.passport.type1;Passport of Dominican Republic (country name in the top-left corner and barcode above the mrz zone, main page)
dom.passport.type2;Passport of Dominican Republic (country name on the top in the middle, main page)
dom.rp.type1;Dominican Residence Permission (emblem of country in left- upper connor, front)
dza.drvlic.type1;Algerian Driving License (DZ sign in the top-left corner, front side)
dza.id.type1;Algerian ID Card (crescent is on the top-left corner and biometric sign is on the top-right corner)
dza.passport.type1;Algerian Passport (the contour of the country on the right and sun in the bottom-right of the photo, main page)
ecu.id.type1;
ecu.id.type2;
ecu.passport.type1;Ecuadorian Passport (turtle in the top-right corner, main page)
egy.id.type1;Egyptian ID card (Egyptian pyramids on the background, front side)
egy.passport.type1;Egyptian Passport (a bird in the top-left corner of photo and barcode under the photo, main page)
egy.passport.type2;Egyptian Passport (a bird in the top-left corner of photo and barcode under the photo, main page)
egy.passport.type3;Egyptian Passport (patterns in the upper corners, main page)
eri.passport.type1;Passport of Eritrea (a personal photo in the middle on the background, main page)
esp.drvlic.type1;Spanish Driving Licence (card-size, number field below the photo)
esp.drvlic.type2;Spanish Driving Licence (card-size, number field to the right of the photo)
esp.id.type1;Spanish ID card (card-size, old one, a personal photo on the right and biometric symbol in the top-left corner, front side)
esp.id.type2;Spanish ID card (card-size, new one, a personal photo on the left and chip on the left, front side)
esp.passport.type1;Spanish Passport (new biometric Passport, biometric symbol on the top, main page)
esp.passport.type2;Spanish Passport (old biometric, biometric symbol in the top-left corner and a personal photo on the background, main page)
esp.passport.type3;Spanish Passport (one-line mrz zone on the bottom, main page)
esp.passport.type4;Spanish Diplomatic Biometric Passport
esp.passport.type5;Spanish Passport (not biometric, personal photo on the background, main page)
esp.passport.type6;Spanish Passport (not biometric, personal photo on the background, main page)
esp.rp.type1;Spanish Residence Permit (EU card size, blue-purple)
esp.rp.type2;Spanish Residence Permit (old card size, different colors, large E on the background)
esp.visa.type1;Spanish Visa (ESP sign in the top-right corner, main page)
est.drvlic.type1;Estonian driver license card - a horizontal card, Estonian emblem in the upper left corner, text and stars on the background, front
est.drvlic.type2;Estonian driver license card - a horizontal card, intersecting curved lines on the background, front
est.drvlic.type3;Estonian driver license card - a horizontal card, Estonian flag in the upper left corner, mrz below, front
est.drvlic.type4;Estonian driver license card - a horizontal card, Estonian flag in the upper left corner, text and curved lines on the background, front
est.drvlic.type5;Estonian driver license card - a horizontal card, Estonian flag and photo on the right, front
est.id.type1;Estonian ID card - a horizontal card, Estonian flag in the upper left corner, lion in the upper right, front
est.id.type2;Estonian ID card - a horizontal card, Estonian emblem in the upper left corner, flag on the background, front
est.id.type3;Estonian ID card - a horizontal card, Estonian flag on the top, front
est.passport.type1;Estonian passport - lion on the top right corner of photo, curved lines on the background, main
est.passport.type2;Estonian passport - lion on the top right corner of photo, curved lines on the background, main
est.passport.type3;Estonian passport - lion on the top right corner of photo, curved lines on the background, main
est.passport.type4;Estonian passport - lion on the top right corner of photo, curved lines on the background, main
est.rp.type1;Estonian RP card (bull in left upper connor, pinky-blue background, emlem of Estonia in right area, front)
est.visa.type1;Estonian Visa (EST sign in the top-right corner)
eth.passport.type1;Ethiopian Passport (barcode above the mrz zone, main page)
